;topic_num;topic_size;mean_token_length;dist_from_corpus;tf_df_dist;doc_prominence;topic_coherence;topic_exclusivity;;
1;1;324,5473088;5;0,561231676;121,7453179;1253;-52,97813811;9,585554454;;
2;2;509,2896883;4,8;0,50289131;122,8226517;1233;-50,49173111;9,009721662;;
3;3;423,7760855;5,4;0,561705493;91,92323269;1368;-54,4982043;9,536738978;;
4;4;448,3967188;3,9;0,520605709;132,1517947;917;-45,1649877;9,1313679;;-51,06637488
5;5;488,1922232;4,6;0,525724614;134,419843;978;-53,67405478;8,94037998;;
6;6;276,7979753;5,6;0,549528022;132,8433668;1405;-49,59113329;9,773337576;;
7;1;298,9853435;5,2;0,585911412;116,3030504;957;-47,60569602;9,539153357;;
8;2;371,9745687;5,4;0,517359209;111,3233535;618;-57,7885128;9,434939592;;
9;3;442,291103;4,6;0,52194875;122,4151067;849;-52,20159588;9,076912749;;
10;4;293,046435;4,9;0,575421051;116,7668223;931;-50,40686613;9,600189581;;-52,50861001
11;5;397,6933294;3,9;0,53560079;132,1517947;643;-45,1649877;9,096961398;;
12;6;433,6177167;4,8;0,536842833;114,5209482;692;-61,95283268;9,23842133;;
13;7;233,3915037;5,9;0,576378695;130,8911724;1001;-52,43977888;9,816236724;;
14;1;248,4483007;4,9;0,595457718;106,8316521;759;-50,92713319;9,667459364;;
15;2;427,1738652;4,9;0,524178219;131,8313907;406;-54,08880091;8,605425136;;
16;3;312,9680432;5,1;0,509776115;121,9449559;574;-58,35307961;9,280678346;;
17;4;311,9786531;5,4;0,537600577;111,3233535;428;-61,2639331;9,506553114;;
18;5;332,0968304;4,7;0,581183936;97,87741082;544;-66,1233021;9,572648953;;-55,0681124
19;6;356,31902;3,9;0,542916668;132,1517947;509;-45,1649877;9,107620438;;
20;7;278,0893784;5,4;0,611290189;114,9425245;762;-51,85679546;9,51763406;;
21;8;203,925909;5,9;0,591330483;130,8911724;819;-52,76686716;9,810479607;;
22;1;180,0365432;6,1;0,587708723;131,7485982;571;-52,27415775;9,770467433;;
23;2;397,1292449;4,7;0,529335797;131,5026917;281;-56,12982728;8,484422974;;
24;3;266,6808998;5,5;0,543383815;95,08438441;324;-64,78516736;9,727379116;;
25;4;263,9716459;5,1;0,61966673;109,5851423;655;-58,77093402;9,541848056;;
26;5;217,6510604;4,8;0,624885913;105,7221338;671;-53,60768348;9,722074276;;
27;6;286,3389837;5,1;0,512322087;112,0582363;448;-56,19596893;9,344951309;;-56,89432868
28;7;312,7984449;3,9;0,54990734;132,1517947;386;-45,1649877;9,130471333;;
29;8;302,315136;4,7;0,593668467;99,76668747;415;-62,58259395;9,526861228;;
30;9;244,0780412;4,5;0,604995268;125,7747479;493;-62,53763766;9,581898678;;
31;1;184,326617;5,4;0,596930976;141,0842512;290;-47,09436668;9,658099336;;
32;2;223,4779353;5,8;0,53461914;112,274035;216;-62,75139246;9,583893965;;
33;3;262,9149954;5,4;0,653687878;80,03276247;513;-62,56176807;9,674188124;;
34;4;274,5890528;4,7;0,533903724;106,4406552;358;-62,02147737;9,499096719;;
35;5;173,6950514;6,3;0,597758376;111,299068;440;-58,68204544;9,842622009;;-58,45722325
36;6;202,5269614;4,9;0,639501142;101,0912055;605;-55,16917956;9,761267174;;
37;7;286,6747182;4,1;0,556271912;128,5408152;364;-50,04665935;9,250082609;;
38;8;282,8788512;4,2;0,614435824;95,36921287;340;-55,66240096;9,550325311;;
39;9;363,9348352;5,1;0,542507992;110,0470404;221;-67,02904175;8,733158377;;
40;10;215,980982;4,7;0,607714757;126,1774243;416;-63,55390089;9,633064059;;
41;1;306,6256794;4,4;0,5433928;133,0579123;164;-59,98529393;8,896921461;;
42;2;211,2074138;6,1;0,564388116;93,5053575;232;-63,42471515;9,74882821;;
43;3;245,3907844;3,1;0,598791223;84,79099913;203;-54,46875059;9,698386956;;
44;4;219,0634204;4,2;0,57994646;128,5439369;248;-48,81100854;9,379737696;;
45;5;186,0506347;5,2;0,629866377;126,1369079;371;-59,66407438;9,65798496;;-57,17416832
46;6;181,9074626;5,3;0,659674292;79,69229363;548;-54,84364526;9,802464759;;
47;7;189,1817781;5;0,573119102;123,3632388;325;-45,91455582;9,585904059;;
48;8;150,966223;6,4;0,612067007;129,9427453;425;-56,85177805;9,794766221;;
49;9;252,4330497;4,8;0,612606528;99,67187892;274;-62,17820831;9,511706883;;
50;10;297,6201733;4,4;0,600609498;86,00285575;246;-56,80779573;9,433163175;;
51;11;230,5533806;4,9;0,644357264;71,07906386;440;-65,96602579;9,755878774;;
